SMILES,label,canonical_smiles
C=C1CCC[C@H]2[C@](C)(CC3=C(O)C(=O)C=C(N)C3=O)[C@@H](C)CC[C@@]12C,1,C=C1CCC[C@H]2[C@](C)(CC3=C(O)C(=O)C=C(N)C3=O)[C@@H](C)CC[C@@]12C
C=C(C)[C@@]12O[C@@]3(/C=C/C=C/CCCCC)O[C@@H]1[C@@H]1[C@@H]4O[C@]4(CO)[C@@H](O)[C@]4(O)C(=O)C(C)=C[C@H]4[C@@]1(O3)[C@H](C)[C@H]2OC(C)=O,1,C=C(C)[C@@]12O[C@@]3(/C=C/C=C/CCCCC)O[C@@H]1[C@@H]1[C@@H]4O[C@]4(CO)[C@@H](O)[C@]4(O)C(=O)C(C)=C[C@H]4[C@@]1(O3)[C@H](C)[C@H]2OC(C)=O
CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2O)ccc1O,1,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2O)ccc1O
COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,1,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
COc1ccc2c(c1)O[C@H](c1ccc(O)cc1)CC2,0,COc1ccc2c(c1)O[C@H](c1ccc(O)cc1)CC2
Cc1c([C@H](C)[C@H](C)O)c(O)c2oc3cc(=O)c(C)c4c-3c(c2c1O)O[C@H](C)[C@H]4C,0,Cc1c([C@H](C)[C@H](C)O)c(O)c2oc3cc(=O)c(C)c4c-3c(c2c1O)O[C@H](C)[C@H]4C
CN1CCc2c[nH]c3c2C1=CC(=O)C3=O,1,CN1CCc2c[nH]c3c2C1=CC(=O)C3=O
CCO[C@@H]1OC[C@@]2(C)CCC[C@@]13c1cc(O)c(C(C)C)cc1C(=O)C[C@@H]23,0,CCO[C@@H]1OC[C@@]2(C)CCC[C@@]13c1cc(O)c(C(C)C)cc1C(=O)C[C@@H]23
C=C1C(=O)[C@@]23CC[C@@H]4[C@@]5(C)CCC[C@@]4(OC5=O)[C@@]2(C)CC[C@]1(OC)C3,1,C=C1C(=O)[C@@]23CC[C@@H]4[C@@]5(C)CCC[C@@]4(OC5=O)[C@@]2(C)CC[C@]1(OC)C3
CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,1,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
CC1(C)C[C@@H](O)[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CCC(=O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,0,CC1(C)C[C@@H](O)[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CCC(=O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1
C=C1[C@@H]2C[C@H](O)[C@H]3[C@]4(C)CC[C@H](O)C(C)(C)[C@H]4C(=O)C[C@]3(C2)[C@@H]1O,0,C=C1[C@@H]2C[C@H](O)[C@H]3[C@]4(C)CC[C@H](O)C(C)(C)[C@H]4C(=O)C[C@]3(C2)[C@@H]1O
COC(=O)C1=CCC[C@H]2[C@](C)(C[C@@H](O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)c3ccoc3)[C@H]3C[C@H](OC3=O)[C@@]12C,0,COC(=O)C1=CCC[C@H]2[C@](C)(C[C@@H](O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)c3ccoc3)[C@H]3C[C@H](OC3=O)[C@@]12C
Oc1cc(O)cc(CCc2ccccc2)c1,0,Oc1cc(O)cc(CCc2ccccc2)c1
CCOC(=O)CC[C@@]1(C)[C@H]([C@@](C)(O)CO)CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@H]([C@]3(C)CC[C@H](C(C)(C)O)O3)CC[C@]12C,0,CCOC(=O)CC[C@@]1(C)[C@H]([C@@](C)(O)CO)CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@H]([C@]3(C)CC[C@H](C(C)(C)O)O3)CC[C@]12C
O=C1Oc2cc(O)ccc2/C1=C\c1ccc(O)cc1,0,O=C1Oc2cc(O)ccc2/C1=C\c1ccc(O)cc1
C=C(C)[C@@H]1CC=C2[C@@H](CC[C@]3(C)[C@@H]([C@H](C)C[C@@H]4C[C@@H](C)C(=O)O4)CC[C@@]23C)[C@@]1(C)CCC(=O)OC,1,C=C(C)[C@@H]1CC=C2[C@@H](CC[C@]3(C)[C@@H]([C@H](C)C[C@@H]4C[C@@H](C)C(=O)O4)CC[C@@]23C)[C@@]1(C)CCC(=O)OC
CO[C@@H]1OC[C@@]2(C)CCC[C@@]13c1cc(O)c(C(C)C)cc1CC[C@@H]23,0,CO[C@@H]1OC[C@@]2(C)CCC[C@@]13c1cc(O)c(C(C)C)cc1CC[C@@H]23
C=C/C(C)=C/C[C@]1(C)[C@H](C)CC[C@@]23C(=C[C@H](OC(=O)c4ccc(O)c(OC)c4)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O,1,C=C/C(C)=C/C[C@]1(C)[C@H](C)CC[C@@]23C(=C[C@H](OC(=O)c4ccc(O)c(OC)c4)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4C[C@@H]5O[C@]6(CC[C@@H](C)CO6)[C@@H](C)[C@@H]5[C@@]4(C)CC[C@@H]32)C1,0,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4C[C@@H]5O[C@]6(CC[C@@H](C)CO6)[C@@H](C)[C@@H]5[C@@]4(C)CC[C@@H]32)C1
COc1cc([C@@H]2c3cc4c(cc3[C@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,1,COc1cc([C@@H]2c3cc4c(cc3[C@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
COc1cc(/C=C(C(O)=NCCc2ccc(O)cc2)\C(=C/c2ccc(O)c(OC)c2)C(O)=NCCc2ccc(O)cc2)ccc1O,0,COc1cc(/C=C(C(O)=NCCc2ccc(O)cc2)\C(=C/c2ccc(O)c(OC)c2)C(O)=NCCc2ccc(O)cc2)ccc1O
